grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, a*, manhattan, 15Puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14", 53	41	6146856	9.70484	633381
X, a*, manhattan, 15Puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0", 46	32	2671887	4.32738	617438
X, a*, manhattan, 15Puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15", 45	35	194445	0.273541	710844
X, a*, manhattan, 15Puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0", 42	24	5022185	8.9273	562565
X, a*, manhattan, 15Puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10", 46	36	945907	1.44852	653018
X, a*, manhattan, 15Puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7", 52	36	3969179	6.17559	642720
X, a*, manhattan, 15Puzzle, "12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11", 47	35	1522306	2.34369	649533
X, a*, manhattan, 15Puzzle, "12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10", 50	38	2594922	4.15469	624576
X, a*, manhattan, 15Puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10", 42	30	402793	0.595581	676303
X, a*, manhattan, 15Puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13", 51	39	3747124	5.88988	636196
X, a*, manhattan, 15Puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12", 47	35	1761633	2.75535	639350
X, a*, manhattan, 15Puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14", 49	39	1705525	2.57925	661249
X, a*, manhattan, 15Puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11", 41	29	359489	0.540876	664642
X, a*, manhattan, 15Puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14", 50	36	4029241	6.41354	628240
X, a*, manhattan, 15Puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 51	37	4228887	6.90158	612742
X, a*, manhattan, 15Puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15", 45	31	3355672	5.33453	629048
X, a*, manhattan, 15Puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14", 44	30	3364372	5.43199	619363
X, a*, manhattan, 15Puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13", 49	37	1854723	2.85909	648710
X, a*, manhattan, 15Puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5", 56	46	4526682	7.0952	637993
X, a*, manhattan, 15Puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 42	28	633670	0.987465	641714
X, a*, manhattan, 15Puzzle, "4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15", 44	32	840604	1.2723	660696
X, a*, manhattan, 15Puzzle, "6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15", 45	35	1689981	2.58361	654117
X, a*, manhattan, 15Puzzle, "13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15", 46	34	1799536	2.76734	650277
X, a*, manhattan, 15Puzzle, "5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2", 53	45	843984	1.18365	713037
X, a*, manhattan, 15Puzzle, "9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3", 44	32	2030749	3.21613	631427
